epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1105.31,0.49963,0.35159,1.16921,0.92785,0.79636,0.89902,0.81368,0.47355,0.63693,1.33396,0.008581,0.008581,0.008581
45,1129.61,0.49374,0.34318,1.18677,0.93073,0.70866,0.86629,0.78588,0.52685,0.79815,1.33327,0.008548,0.008548,0.008548
46,1154.31,0.49757,0.34856,1.1839,0.92144,0.788,0.89481,0.82193,0.45206,0.6925,1.24425,0.008515,0.008515,0.008515
47,1178.91,0.49442,0.34744,1.17231,0.90669,0.80107,0.90339,0.82336,0.45862,0.62944,1.2407,0.008482,0.008482,0.008482
48,1204.24,0.4814,0.34385,1.17828,0.93276,0.78617,0.8983,0.81842,0.47288,0.66495,1.25728,0.008449,0.008449,0.008449
49,1229.68,0.49378,0.34312,1.17798,0.91452,0.80678,0.86079,0.78239,0.46118,0.68894,1.28102,0.008416,0.008416,0.008416
50,1254.68,0.48451,0.34087,1.15916,0.92361,0.67399,0.86046,0.78352,0.50608,1.18074,1.27954,0.008383,0.008383,0.008383
51,1278.84,0.4841,0.34912,1.18367,0.88807,0.67656,0.84211,0.76984,0.51954,1.03093,1.31832,0.00835,0.00835,0.00835
52,1303.6,0.48534,0.349,1.16317,0.90086,0.85249,0.87793,0.80596,0.4121,0.59781,1.22474,0.008317,0.008317,0.008317
53,1328,0.48065,0.33627,1.15328,0.89159,0.7865,0.87747,0.81053,0.4249,0.71024,1.21664,0.008284,0.008284,0.008284
54,1352.56,0.4832,0.3362,1.15607,0.92212,0.82426,0.88346,0.81437,0.42544,0.63225,1.18911,0.008251,0.008251,0.008251
55,1376.97,0.47736,0.33862,1.17245,0.90901,0.85019,0.88893,0.81879,0.42075,0.58231,1.21026,0.008218,0.008218,0.008218
56,1401.95,0.4791,0.33831,1.16923,0.90538,0.81514,0.88208,0.80988,0.44754,0.67116,1.2453,0.008185,0.008185,0.008185
57,1426.38,0.47148,0.33527,1.16008,0.9203,0.85372,0.89889,0.83342,0.41227,0.57094,1.17171,0.008152,0.008152,0.008152
58,1451.52,0.46951,0.32954,1.15325,0.90746,0.88307,0.89623,0.82719,0.3967,0.53777,1.20018,0.008119,0.008119,0.008119
59,1476.56,0.47193,0.33168,1.16079,0.92806,0.82412,0.90489,0.82689,0.43271,0.61276,1.23609,0.008086,0.008086,0.008086
60,1501.51,0.47504,0.33671,1.17999,0.90804,0.85703,0.88015,0.8073,0.42312,0.60952,1.21218,0.008053,0.008053,0.008053
61,1526.73,0.46435,0.32773,1.15721,0.92087,0.876,0.89323,0.82416,0.40125,0.57107,1.17675,0.00802,0.00802,0.00802
62,1551.08,0.46334,0.32757,1.15288,0.92179,0.87114,0.85885,0.79321,0.40113,0.56503,1.18598,0.007987,0.007987,0.007987
63,1575.72,0.46117,0.32752,1.14842,0.89749,0.80482,0.86723,0.797,0.4825,0.76704,1.28887,0.007954,0.007954,0.007954
64,1600.61,0.46356,0.33116,1.15798,0.91732,0.86051,0.89375,0.82261,0.40681,0.56336,1.1972,0.007921,0.007921,0.007921
65,1626.38,0.46931,0.33176,1.15384,0.92651,0.79209,0.88981,0.81596,0.45099,0.6721,1.21675,0.007888,0.007888,0.007888
66,1651.98,0.46026,0.32767,1.1426,0.91594,0.86208,0.89577,0.83131,0.38702,0.56781,1.18948,0.007855,0.007855,0.007855
67,1676.61,0.46454,0.32618,1.14961,0.91152,0.84213,0.88507,0.81958,0.3898,0.6048,1.17949,0.007822,0.007822,0.007822
68,1701.6,0.45647,0.32118,1.14249,0.91899,0.78731,0.88082,0.81165,0.4272,0.6497,1.23574,0.007789,0.007789,0.007789
69,1725.73,0.4527,0.3222,1.14914,0.90331,0.86131,0.88105,0.81039,0.4126,0.59465,1.20339,0.007756,0.007756,0.007756
70,1750.54,0.46358,0.32292,1.14706,0.911,0.8512,0.87697,0.81196,0.4032,0.65276,1.19876,0.007723,0.007723,0.007723
71,1775.02,0.4555,0.32259,1.14919,0.9058,0.84345,0.89642,0.83149,0.40623,0.66254,1.21392,0.00769,0.00769,0.00769
72,1800.05,0.45113,0.31817,1.14271,0.9064,0.8418,0.89272,0.83026,0.39492,0.60437,1.18756,0.007657,0.007657,0.007657
73,1824.41,0.45191,0.32441,1.15414,0.92373,0.87871,0.90052,0.83703,0.37932,0.53188,1.17266,0.007624,0.007624,0.007624
74,1849.06,0.44585,0.31558,1.13744,0.91574,0.83097,0.8772,0.81126,0.40868,0.65595,1.21445,0.007591,0.007591,0.007591
75,1874.24,0.4559,0.3252,1.15748,0.90947,0.85976,0.88553,0.82453,0.3909,0.62603,1.18288,0.007558,0.007558,0.007558
76,1898.83,0.44612,0.31465,1.14265,0.91476,0.87232,0.89729,0.83221,0.39145,0.55077,1.18479,0.007525,0.007525,0.007525
77,1923.64,0.45676,0.31971,1.14256,0.90836,0.87056,0.88821,0.82819,0.36484,0.58982,1.1645,0.007492,0.007492,0.007492
78,1948.13,0.45823,0.32439,1.14844,0.9193,0.86211,0.89103,0.83019,0.37528,0.62254,1.1738,0.007459,0.007459,0.007459
79,1973.23,0.43757,0.31102,1.13538,0.90981,0.84564,0.89133,0.83133,0.37796,0.62952,1.1757,0.007426,0.007426,0.007426
80,1997.88,0.44764,0.31986,1.14076,0.91575,0.89114,0.90394,0.83991,0.37756,0.50137,1.16776,0.007393,0.007393,0.007393
81,2022.86,0.45676,0.32116,1.14187,0.92398,0.82206,0.88885,0.82768,0.39407,0.61173,1.2171,0.00736,0.00736,0.00736
82,2047.96,0.44504,0.31743,1.14285,0.91466,0.85174,0.90481,0.83775,0.40489,0.59147,1.20566,0.007327,0.007327,0.007327
83,2072.88,0.44352,0.31415,1.13774,0.90871,0.85679,0.89454,0.82773,0.38961,0.58997,1.18713,0.007294,0.007294,0.007294
84,2097.55,0.44267,0.31479,1.14263,0.90896,0.84271,0.88977,0.82921,0.39039,0.61326,1.21095,0.007261,0.007261,0.007261
85,2121.86,0.43662,0.31337,1.12635,0.91802,0.85146,0.89039,0.82854,0.38554,0.64639,1.16833,0.007228,0.007228,0.007228
86,2146.64,0.43585,0.31181,1.14198,0.90647,0.82029,0.89043,0.82804,0.39306,0.67419,1.18252,0.007195,0.007195,0.007195
87,2171.29,0.44211,0.31503,1.13244,0.91964,0.84808,0.89305,0.82568,0.39026,0.61144,1.18981,0.007162,0.007162,0.007162
88,2195.89,0.43227,0.30832,1.12829,0.91363,0.83611,0.90137,0.83311,0.40418,0.57797,1.2059,0.007129,0.007129,0.007129
89,2220.57,0.43479,0.31242,1.13911,0.92372,0.79854,0.88901,0.8159,0.43284,0.64231,1.24796,0.007096,0.007096,0.007096
90,2245.42,0.4356,0.31276,1.13013,0.91603,0.84994,0.89827,0.83626,0.38751,0.60921,1.18995,0.007063,0.007063,0.007063
91,2270.99,0.43919,0.31034,1.13969,0.91087,0.86535,0.87471,0.81374,0.38536,0.5975,1.18725,0.00703,0.00703,0.00703
92,2295.8,0.42735,0.30559,1.12641,0.9142,0.8657,0.90618,0.84725,0.35931,0.58234,1.17612,0.006997,0.006997,0.006997
93,2320.13,0.43885,0.31337,1.14148,0.91834,0.8625,0.90014,0.83583,0.38431,0.60542,1.19391,0.006964,0.006964,0.006964
94,2344.44,0.43632,0.31304,1.1369,0.91509,0.87987,0.90673,0.8424,0.39041,0.53971,1.20991,0.006931,0.006931,0.006931
95,2369.3,0.43749,0.31503,1.14365,0.91241,0.87247,0.90105,0.83704,0.37357,0.54327,1.18299,0.006898,0.006898,0.006898
96,2393.72,0.43876,0.31714,1.14728,0.91529,0.88887,0.91083,0.8461,0.37823,0.5413,1.17636,0.006865,0.006865,0.006865
97,2418.46,0.43244,0.31116,1.14338,0.90943,0.85609,0.90824,0.84422,0.38656,0.59511,1.19267,0.006832,0.006832,0.006832
98,2443.24,0.42776,0.31096,1.12998,0.93673,0.79588,0.90869,0.83689,0.41787,0.60877,1.22418,0.006799,0.006799,0.006799
99,2468.24,0.42835,0.30585,1.13381,0.92584,0.86754,0.91229,0.84914,0.37931,0.55637,1.1763,0.006766,0.006766,0.006766
100,2493.05,0.42061,0.30487,1.12805,0.92612,0.86139,0.90729,0.8457,0.37611,0.5701,1.18481,0.006733,0.006733,0.006733
101,2518.36,0.43558,0.31136,1.13711,0.92186,0.86464,0.90794,0.84509,0.37758,0.57605,1.17056,0.0067,0.0067,0.0067
102,2543.06,0.42125,0.30097,1.12597,0.92296,0.8514,0.91719,0.85266,0.3878,0.57589,1.18159,0.006667,0.006667,0.006667
103,2568.49,0.41978,0.30418,1.12794,0.92841,0.8719,0.9191,0.85093,0.38628,0.5136,1.20556,0.006634,0.006634,0.006634
104,2592.89,0.42113,0.30229,1.13224,0.91691,0.85461,0.90645,0.83731,0.39231,0.60614,1.19826,0.006601,0.006601,0.006601
105,2618.06,0.42003,0.30101,1.12428,0.92042,0.85822,0.90744,0.84557,0.3708,0.59928,1.17451,0.006568,0.006568,0.006568
106,2642.73,0.40563,0.29799,1.11437,0.91912,0.877,0.91922,0.85277,0.37439,0.53839,1.18386,0.006535,0.006535,0.006535
107,2667.1,0.42005,0.30491,1.12789,0.92023,0.82459,0.90357,0.8375,0.38429,0.61834,1.21002,0.006502,0.006502,0.006502
108,2691.58,0.41425,0.29933,1.12352,0.91986,0.8285,0.89547,0.83314,0.38338,0.59662,1.17828,0.006469,0.006469,0.006469
109,2716.12,0.41322,0.30066,1.12679,0.92171,0.84363,0.89895,0.83555,0.37308,0.56012,1.17701,0.006436,0.006436,0.006436
110,2741.07,0.41447,0.29672,1.12545,0.9205,0.86036,0.89845,0.83425,0.37816,0.56424,1.1806,0.006403,0.006403,0.006403
111,2765.47,0.41616,0.30298,1.11582,0.92305,0.8587,0.91003,0.84781,0.37404,0.54242,1.18634,0.00637,0.00637,0.00637
112,2789.98,0.40833,0.29246,1.11784,0.93289,0.81343,0.89995,0.83328,0.39109,0.57095,1.19699,0.006337,0.006337,0.006337
113,2814.56,0.41111,0.30034,1.12715,0.91472,0.84556,0.89676,0.83581,0.3777,0.60158,1.18315,0.006304,0.006304,0.006304
114,2840.38,0.40929,0.3003,1.14024,0.91944,0.87558,0.90689,0.84448,0.36213,0.51702,1.18487,0.006271,0.006271,0.006271
