epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1194.18,0.51338,0.36397,1.34946,0.99928,1,0.995,0.96764,0.37019,0.32915,1.14666,0.0011288,0.0011288,0.0011288
46,1218.91,0.50753,0.36287,1.312,0.99968,1,0.995,0.98021,0.32554,0.29815,1.11289,0.001109,0.001109,0.001109
47,1243.78,0.49648,0.35915,1.30934,0.99492,1,0.995,0.96439,0.36341,0.29935,1.13728,0.0010892,0.0010892,0.0010892
48,1268.6,0.47857,0.34884,1.30366,0.99972,1,0.995,0.98278,0.30209,0.28613,1.13219,0.0010694,0.0010694,0.0010694
49,1293.39,0.48189,0.35186,1.29602,0.99969,1,0.995,0.98065,0.30568,0.28096,1.10456,0.0010496,0.0010496,0.0010496
50,1318.44,0.47197,0.34501,1.28759,0.99969,1,0.995,0.96422,0.35935,0.29969,1.14434,0.0010298,0.0010298,0.0010298
51,1343.44,0.48255,0.34365,1.31475,0.99967,1,0.995,0.98977,0.30114,0.28464,1.11827,0.00101,0.00101,0.00101
52,1368.86,0.48458,0.34651,1.29079,0.99146,1,0.995,0.97155,0.32156,3.33363,1.10838,0.0009902,0.0009902,0.0009902
53,1393.75,0.47249,0.34454,1.29038,0.99957,1,0.995,0.98485,0.3162,0.28128,1.16205,0.0009704,0.0009704,0.0009704
54,1418.69,0.45579,0.33838,1.26474,0.99941,1,0.995,0.97853,0.34143,0.31654,1.09652,0.0009506,0.0009506,0.0009506
55,1444.09,0.45999,0.3353,1.26481,0.99968,1,0.995,0.98017,0.32486,0.2836,1.10776,0.0009308,0.0009308,0.0009308
56,1469.12,0.47947,0.35242,1.31899,0.99342,0.995,0.99495,0.97151,0.34878,8.72742,1.13279,0.000911,0.000911,0.000911
57,1494.06,0.47791,0.33987,1.28662,0.99964,1,0.995,0.96446,0.37144,0.3114,1.12329,0.0008912,0.0008912,0.0008912
58,1518.97,0.46736,0.33506,1.28629,0.99916,1,0.995,0.97246,0.3258,1.02853,1.12794,0.0008714,0.0008714,0.0008714
59,1543.95,0.45328,0.32783,1.25844,0.99963,1,0.995,0.97656,0.32068,0.32031,1.15035,0.0008516,0.0008516,0.0008516
60,1569,0.44168,0.32778,1.26161,0.99944,1,0.995,0.97854,0.32257,0.29045,1.18915,0.0008318,0.0008318,0.0008318
61,1594,0.46876,0.34214,1.28921,0.99966,1,0.995,0.97752,0.33178,0.28492,1.20472,0.000812,0.000812,0.000812
62,1620.49,0.44391,0.3256,1.26457,0.9969,1,0.995,0.97851,0.29616,1.16035,1.09161,0.0007922,0.0007922,0.0007922
63,1646.68,0.43994,0.32477,1.24749,0.9996,1,0.995,0.97582,0.30308,0.31363,1.07782,0.0007724,0.0007724,0.0007724
64,1673.12,0.42411,0.31799,1.25319,0.99502,1,0.995,0.98639,0.29605,2.17272,1.07033,0.0007526,0.0007526,0.0007526
65,1700.26,0.43396,0.31952,1.23646,0.99972,1,0.995,0.98325,0.28333,0.2729,1.05454,0.0007328,0.0007328,0.0007328
66,1727.02,0.43978,0.32471,1.25854,1,1,0.995,0.98813,0.29144,0.27238,1.11574,0.000713,0.000713,0.000713
67,1753.21,0.43614,0.32134,1.24601,0.99973,1,0.995,0.98528,0.30493,0.26261,1.12511,0.0006932,0.0006932,0.0006932
68,1777.97,0.43777,0.3247,1.27333,0.99975,1,0.995,0.98216,0.29094,0.26808,1.1036,0.0006734,0.0006734,0.0006734
69,1802.86,0.42387,0.31348,1.25552,0.99769,1,0.995,0.96891,0.31159,1.07027,1.09344,0.0006536,0.0006536,0.0006536
70,1827.84,0.43,0.31308,1.26089,0.99955,1,0.995,0.98967,0.28117,0.26389,1.12147,0.0006338,0.0006338,0.0006338
71,1853.09,0.43771,0.3234,1.25644,0.99972,1,0.995,0.99004,0.27874,0.25787,1.06423,0.000614,0.000614,0.000614
72,1878.87,0.41019,0.30879,1.24992,0.99973,1,0.995,0.98602,0.27533,0.25746,1.09282,0.0005942,0.0005942,0.0005942
73,1903.59,0.43038,0.31699,1.26369,0.99972,1,0.995,0.98621,0.29962,0.27071,1.04356,0.0005744,0.0005744,0.0005744
74,1928.35,0.4073,0.30489,1.20516,1,1,0.995,0.98903,0.27944,0.25997,1.08131,0.0005546,0.0005546,0.0005546
75,1953.19,0.40733,0.30458,1.22555,1,1,0.995,0.98594,0.27972,0.2588,1.08086,0.0005348,0.0005348,0.0005348
76,1977.97,0.41316,0.30475,1.22062,1,1,0.995,0.98732,0.27493,0.24785,1.06973,0.000515,0.000515,0.000515
77,2002.7,0.41038,0.30681,1.21904,1,1,0.995,0.98872,0.26898,0.2512,1.02241,0.0004952,0.0004952,0.0004952
78,2027.5,0.39439,0.29226,1.21317,1,1,0.995,0.98787,0.26534,0.25155,1.05122,0.0004754,0.0004754,0.0004754
79,2052.28,0.40452,0.30279,1.22374,0.99974,1,0.995,0.98824,0.27739,0.25863,1.05993,0.0004556,0.0004556,0.0004556
80,2077.16,0.39212,0.29563,1.22537,1,1,0.995,0.98732,0.2708,0.24946,1.07926,0.0004358,0.0004358,0.0004358
81,2102.23,0.39273,0.29397,1.2285,0.9997,1,0.995,0.98782,0.2668,0.25404,1.03647,0.000416,0.000416,0.000416
82,2127.38,0.39506,0.29782,1.22834,0.99976,1,0.995,0.99034,0.26766,0.2549,1.06728,0.0003962,0.0003962,0.0003962
83,2152.6,0.38961,0.2906,1.21174,0.99975,1,0.995,0.98426,0.27762,0.2461,1.07196,0.0003764,0.0003764,0.0003764
84,2177.37,0.38717,0.28899,1.19854,0.99774,1,0.995,0.98929,0.27187,0.24408,1.08696,0.0003566,0.0003566,0.0003566
85,2202.1,0.39892,0.29473,1.22014,0.99973,1,0.995,0.98813,0.27261,0.25641,1.03392,0.0003368,0.0003368,0.0003368
86,2226.88,0.38491,0.28967,1.21146,0.99973,1,0.995,0.98984,0.25706,0.24254,1.05827,0.000317,0.000317,0.000317
87,2251.65,0.38404,0.29037,1.23808,0.99973,1,0.995,0.98821,0.27248,0.24409,1.07747,0.0002972,0.0002972,0.0002972
88,2276.47,0.38787,0.28837,1.2292,0.99973,1,0.995,0.99221,0.25289,0.24106,1.06433,0.0002774,0.0002774,0.0002774
89,2301.99,0.37397,0.28523,1.20721,0.99972,1,0.995,0.98754,0.25601,0.2329,1.0609,0.0002576,0.0002576,0.0002576
90,2326.97,0.37459,0.28227,1.20741,1,1,0.995,0.9922,0.25247,0.23252,1.0623,0.0002378,0.0002378,0.0002378
91,2353.01,0.2866,0.2412,0.98719,0.99973,1,0.995,0.98614,0.27638,0.24486,1.12346,0.000218,0.000218,0.000218
92,2378.02,0.27887,0.23558,0.98183,0.99974,1,0.995,0.98907,0.257,0.2468,1.03342,0.0001982,0.0001982,0.0001982
93,2403.14,0.28063,0.23631,0.95216,0.99973,1,0.995,0.99038,0.25254,0.2366,1.03635,0.0001784,0.0001784,0.0001784
94,2428.17,0.27551,0.2298,0.96068,1,1,0.995,0.98922,0.25172,0.23115,1.05896,0.0001586,0.0001586,0.0001586
95,2452.86,0.26877,0.22847,0.98047,1,1,0.995,0.98623,0.24257,0.22787,1.03196,0.0001388,0.0001388,0.0001388
96,2477.58,0.27586,0.23223,0.96282,0.99973,1,0.995,0.9882,0.24867,0.23192,1.03507,0.000119,0.000119,0.000119
97,2502.28,0.2684,0.226,0.96653,0.99975,1,0.995,0.98947,0.24307,0.22774,1.03635,9.92e-05,9.92e-05,9.92e-05
98,2527.43,0.26231,0.22455,0.9578,1,1,0.995,0.9895,0.23181,0.22635,1.03393,7.94e-05,7.94e-05,7.94e-05
99,2553.72,0.25951,0.22374,0.9649,0.99973,1,0.995,0.99157,0.23662,0.22425,1.02723,5.96e-05,5.96e-05,5.96e-05
100,2580.9,0.25978,0.22156,0.95646,1,1,0.995,0.99075,0.23592,0.22299,1.03272,3.98e-05,3.98e-05,3.98e-05
